9;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Микрорайон Шакша - Ледовый дворец «Уфа-Арена» - Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз);<;д. Карпово;NULL;9
15;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Микрорайон Шакша - Ледовый дворец «Уфа-Арена» - Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз);<;Гипермаркет «Лента»;NULL;15
16;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;>;Гипермаркет «Лента»;NULL;16
22;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;>;д. Карпово;NULL;22
23;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;>;Микрорайон «Федоровка»;NULL;23
14;Г 238 Микрорайон Молодёжный - ул. Дзержинского;ул. Дзержинского - микрорайон Молодёжный;<;Уфаархпроект;NULL;14
8;Г 242 ТСК «8-ое Марта» - Аптека №2 - ТСК  «8-ое Марта» (ч/з ул. Революционная);ТСК «8-ое Марта» - Аптека №2 - ТСК  «8-ое Марта» (ч/з ул. Революционная);>;Уфаархпроект;NULL;8
19;Г 242А ТСК «8-ое Марта» - Аптека №2 - ТСК  «8-ое Марта» (ч/з ул. Революционная);ТСК «8-ое Марта» - Аптека №2 - ТСК  «8-ое Марта» (ч/з ул. Революционная);<;Уфаархпроект;NULL;19
11;Г 246 Мега-Икеа - Микрорайон Мечта;Мега-Икеа - Микрорайон Мечта;>;Южная;NULL;11
12;Г 246 Мега-Икеа - Микрорайон Мечта;Мега-Икеа - Микрорайон Мечта;>;Мкр. Спутник;NULL;12
18;Г 246 Мега-Икеа - Микрорайон Мечта;Мега-Икеа - Микрорайон Мечта;>;Локотковская улица;NULL;18
19;Г 246 Мега-Икеа - Микрорайон Мечта;Мега-Икеа - Микрорайон Мечта;>;Микрорайон Атаевка;NULL;19
20;Г 246 Мега-Икеа - Микрорайон Мечта;Мега-Икеа - Микрорайон Мечта;>;Микрорайон Мечта;NULL;20
21;Г 246 Мега-Икеа - Микрорайон Мечта;Мега-Икеа - Микрорайон Мечта;>;Микрорайон Королёво;NULL;21
1;Г 246 Мега-Икеа - Микрорайон Мечта;Микрорайон Мечта - Микрорайон Белореченский;<;Микрорайон Королёво;NULL;1
2;Г 246 Мега-Икеа - Микрорайон Мечта;Микрорайон Мечта - Микрорайон Белореченский;<;Микрорайон Мечта;NULL;2
3;Г 246 Мега-Икеа - Микрорайон Мечта;Микрорайон Мечта - Микрорайон Белореченский;<;Микрорайон Атаевка;NULL;3
4;Г 246 Мега-Икеа - Микрорайон Мечта;Микрорайон Мечта - Микрорайон Белореченский;<;Локотковская улица;NULL;4
10;Г 246 Мега-Икеа - Микрорайон Мечта;Микрорайон Мечта - Микрорайон Белореченский;<;Мкр. Спутник;NULL;10
11;Г 246 Мега-Икеа - Микрорайон Мечта;Микрорайон Мечта - Микрорайон Белореченский;<;Южная;NULL;11
1;Г 252 Гипермаркет «Лента» - Микрорайон «Колгуевский» - Микрорайон Нижегородка;Гипермаркет «Лента» - Микрорайон «Колгуевский» - Микрорайон Нижегородка;>;Гипермаркет «Лента»;NULL;1
40;Г 252 Гипермаркет «Лента» - Микрорайон «Колгуевский» - Микрорайон Нижегородка;Микрорайон Нижегородка - Гипермаркет «Лента» - Микрорайон «Колгуевский»;<;Ул. Армавирская;NULL;40
42;Г 252 Гипермаркет «Лента» - Микрорайон «Колгуевский» - Микрорайон Нижегородка;Микрорайон Нижегородка - Гипермаркет «Лента» - Микрорайон «Колгуевский»;<;Гипермаркет «Лента»;NULL;42
27;Г 264 ОК Сипайловский - Телецентр;ОК Сипайловский - Телецентр;>;Ул. Октябрьской Революции;NULL;27
30;Г 264 ОК Сипайловский - Телецентр;ОК Сипайловский - Телецентр;>;БГУ;NULL;30
33;Г 264 ОК Сипайловский - Телецентр;ОК Сипайловский - Телецентр;>;"""ТСК """"Пушкинский""""""";NULL;33
1;Г 264 ОК Сипайловский - Телецентр;Телецентр - ОК Сипайловский;<;"""ТСК """"Пушкинский""""""";NULL;1
26;Г 264 ОК Сипайловский - Телецентр;Телецентр - ОК Сипайловский;<;ТК Терем;NULL;26
10;Г 278 Улица Рощинская - Больница №21;Больница №21 - Улица Рощинская;>;Гипермаркет «Лента»;NULL;10
15;Г 278 Улица Рощинская - Больница №21;Улица Рощинская - Больница №21;<;Гипермаркет «Лента»;NULL;15
1;Г 287 Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;Микрорайон «Забельский» - Поселок 8-ое Марта - Ул. им. города Галле;<;3-я Аэродромная (8 Марта);NULL;1
2;Г 287 Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;Микрорайон «Забельский» - Поселок 8-ое Марта - Ул. им. города Галле;<;Аэродром Забельский;NULL;2
10;Г 287 Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;>;Аэродром Забельский;NULL;10
11;Г 287 Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;>;3-я Аэродромная (8 Марта);NULL;11
27;Г 291 Уфа-АвтоВАЗ - Гимназия-интернат №1;Гимназия-интернат №1 -Уфа-АвтоВАЗ;<;Спортивная;NULL;27
8;Г 291 Уфа-АвтоВАЗ - Гимназия-интернат №1;Уфа-АвтоВАЗ - Гимназия-интернат №1;>;Спортивная;NULL;8
11;Г 291 Уфа-АвтоВАЗ - Гимназия-интернат №1;Уфа-АвтоВАЗ - Гимназия-интернат №1;>;Университет им. Шолохова;NULL;11
7;Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;Микрорайон «Серебряный ручей» - Семейный торговый центр «Мега-Уфа»;>;Мкр. «Яркий»;NULL;7
14;Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;Микрорайон «Серебряный ручей» - Семейный торговый центр «Мега-Уфа»;>;Красная улица;NULL;14
15;Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;Микрорайон «Серебряный ручей» - Семейный торговый центр «Мега-Уфа»;>;Ореховая улица;NULL;15
1;Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;Семейный торговый центр «Мега-Уфа» - Микрорайон «Серебряный ручей»;<;Ореховая улица;NULL;1
2;Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;Семейный торговый центр «Мега-Уфа» - Микрорайон «Серебряный ручей»;<;Красная улица;NULL;2
9;Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;Семейный торговый центр «Мега-Уфа» - Микрорайон «Серебряный ручей»;<;Мкр. «Яркий»;NULL;9
13;Г 293 Никольский - Старая Александровка - Колхозный рынок;Колхозный рынок - Старая Александровка - Никольский;<;Причальная улица;NULL;13
19;Г 293 Никольский - Старая Александровка - Колхозный рынок;Колхозный рынок - Старая Александровка - Никольский;<;Загородная улица;NULL;19
1;Г 293 Никольский - Старая Александровка - Колхозный рынок;Никольский - Старая Александровка - Колхозный рынок;>;Загородная улица;NULL;1
7;Г 293 Никольский - Старая Александровка - Колхозный рынок;Никольский - Старая Александровка - Колхозный рынок;>;Причальная улица;NULL;7
1;Г 296 ТЭЦ-1 - Вотикеево;Вотикеево - ТЭЦ-1;<;Луговая улица;NULL;1
6;Г 296 ТЭЦ-1 - Вотикеево;Вотикеево - ТЭЦ-1;<;Сад №3;NULL;6
18;Г 296 ТЭЦ-1 - Вотикеево;ТЭЦ-1 - Вотикеево;>;Сад №3;NULL;18
25;Г 296 ТЭЦ-1 - Вотикеево;ТЭЦ-1 - Вотикеево;>;Луговая улица;NULL;25
1;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Микрорайон «Федоровка»;NULL;1
2;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Сады №41 и 32;NULL;2
3;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Сады №43;NULL;3
7;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Сад №40;NULL;7
8;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Геодезическая улица;NULL;8
9;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;ОАО Газсервис;NULL;9
10;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Магазин;NULL;10
11;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;Исправительная колония №3;NULL;11
12;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;<;УЗМПИ;NULL;12
11;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;УЗМПИ;NULL;11
12;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Исправительная колония №3;NULL;12
13;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Магазин;NULL;13
14;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;ОАО Газсервис;NULL;14
15;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Геодезическая улица;NULL;15
16;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Сад №40;NULL;16
20;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Сады №43;NULL;20
21;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Сады №41 и 32;NULL;21
22;Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;299 Микрорайон «Федоровка» - Микрорайон Базилевка - ДК УМПО;>;Микрорайон «Федоровка»;NULL;22
1;Г 300  Радуга - ДК УМПО;ДК УМПО - Радуга;>;Радуга;NULL;1
2;Г 300  Радуга - ДК УМПО;ДК УМПО - Радуга;>;ДК Химиков;NULL;2
5;Г 300  Радуга - ДК УМПО;Радуга - ДК УМПО;<;ДК Химиков;NULL;5
6;Г 300  Радуга - ДК УМПО;Радуга - ДК УМПО;<;Радуга;NULL;6
1;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Гимназия №140;NULL;1
7;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Уфимский ДОК;NULL;7
8;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Ул. им. Фроновых Бригад;NULL;8
9;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Школа №68;NULL;9
10;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Переулок Железнодорожный;NULL;10
11;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Бульвар Баландина;NULL;11
12;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Ул. Глинки;NULL;12
13;М 1(г) Инорс - ТСК Пушкинский;Инорс - ТСК Пушкинский;>;Университет им. Шолохова;NULL;13
38;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Университет им. Шолохова;NULL;38
39;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Ул. Глинки;NULL;39
40;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Бульвар Баландина;NULL;40
41;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Переулок Железнодорожный;NULL;41
42;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Школа №68;NULL;42
43;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Ул. им. Фроновых Бригад;NULL;43
44;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Уфимский ДОК;NULL;44
50;М 1(г) Инорс - ТСК Пушкинский;ТСК Пушкинский - Инорс;<;Гимназия №140;NULL;50
26;М 2(г) Северный автовокзал - ТСК Пушкинский;Северный автовокзал - ТСК Пушкинский;>;БГУ;NULL;26
28;М 2(г) Северный автовокзал - ТСК Пушкинский;Северный автовокзал - ТСК Пушкинский;>;"""ТСК """"Пушкинский""""""";NULL;28
1;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;"""ТСК """"Пушкинский""""""";NULL;1
2;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;2
5;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;5
6;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;6
7;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;7
9;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;9
11;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;11
12;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;12
13;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;13
15;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;15
16;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;16
18;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;18
19;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;19
20;М 2(г) Северный автовокзал - ТСК Пушкинский;ТСК Пушкинский - Северный автовокзал;<;NULL;NULL;20
