114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;2;07:35 - 10:25;;15;;07:38;;10:23
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;3;10:35 - 16:50;;20;;10:38;;16:48
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;4;17:05 - 19:55;;15;;17:08;;19:53
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;5;20:05 - 21:10;;20;;20:08;;21:08
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;1;07:05 - 07:20;;20;;07:08;;07:18
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;2;07:35 - 10:25;;15;;07:38;;10:23
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;3;10:35 - 16:50;;20;;10:38;;16:48
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;4;17:05 - 19:55;;15;;17:08;;19:53
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;5;20:05 - 21:10;;20;;20:08;;21:08
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;1;07:05 - 07:20;;20;;07:09;;07:19
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;2;07:35 - 10:25;;15;;07:39;;10:24
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;3;10:35 - 16:50;;20;;10:39;;16:49
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;4;17:05 - 19:55;;15;;17:09;;19:54
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;5;20:05 - 21:10;;20;;20:09;;21:09
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;1;07:10 - 07:25;;20;;07:13;;07:23
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;2;07:40 - 10:30;;15;;07:43;;10:28
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;3;10:40 - 16:55;;20;;10:43;;16:53
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;4;17:10 - 20:00;;15;;17:13;;19:58
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;5;20:10 - 21:15;;20;;20:13;;21:13
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;2;07:30 - 09:45;15;;07:30;;09:45;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;3;10:00 - 16:10;20;;10:00;;16:10;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;4;16:30 - 19:15;15;;16:30;;19:15;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демская АВ;-;5;19:30 - 21:30;20;;19:30;;21:30;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;2;07:30 - 09:50;15;;07:34;;09:49;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;3;10:00 - 16:15;20;;10:04;;16:14;
