Персп 2М 590 Уфа (Мега) - Туймазы;55,2;59,1
Персп 2М 591 Уфа (Мега) - Кумертау;59,6;61,9
Персп 2М 591 Уфа (Мега) - Туймазы ч/з Кандры;43,5;45,8
Персп 2М 592 Уфа (Мега) - Валентиновка;46,9;48,3
Персп 2М 593 Уфа (Мега) - Белорецк;60;64,5
Персп 2М 600 С Уфа (Мега) - Октябрьский через Серафимовский;55;58,9
Персп 2М 600 Т Уфа (Мега) - Октябрьский через Туймазы;55;56,6
Персп 2М 600 Э Уфа (Мега) - Октябрьский экспресс;56,8;58,3
Персп 2М 601 Уфа (Мега) - Мраково;63;66,6
Персп 2М 604 Уфа (Мега) - Архангельское ч/з Кабаково;48,6;51,6
Персп 2М 611 Уфа (Мега) - Исянгулово;53;56
Персп 2М 737 Уфа (Мега) - Кандры;48;48,9
Персп 2М 741 Уфа (Мега) - Саит-Баба;48;52,5
Персп 2М 798 Уфа (Мега) - Сибай;53,4;54,1
Персп 2М 828 Белорецк - Стерлитамак;49,3;51,9
Персп 2М Белорецк - Кага - Стерлитамак;60;62,7
Персп 2М Месягутово - Караидель;60;63,4
Персп 2М Салават - Амирово;40;43,3
Персп 2М Салават - Киргиз Мияки;40;43
Персп 2М Салават - Стерлибашево;40;43
Персп 2М Стерлитамак - Кага - Аскарово;60;62
Персп 2М Стерлитамак - Кага - Старосубхангулово;60;63
Персп 2М Уфа (Мега) - Буздяк;50;51,2
Персп 2М Уфа (Мега) - В.Яркеево;45;45,9
Персп 2М Уфа (Мега) - Давлеканово;50;51,3
Персп 2М Уфа (Мега) - Ишимбай;53;54,6
Персп 2М Уфа (Мега) - Киргиз Мияки;52,3;52,8
Персп 2М Уфа (Мега) - Приютово;55;56,4
Персп 2М Уфа (Мега) - Раевка;53;54,2
Персп 2М Уфа (Мега) - Янышево;50;51,6
Персп 2М Уфа (Северный АВ) - Красная Горка - Павловка;47;48,3
Персп 2М Уфа (Южный АВ) - Бакалы;44,4;45,2
Персп 2П 101 Уфа (Мега) - Булгаково;41;53,7
Персп 2П 104 с Уфа (Северный АВ) - Благовещенск;35,3;51,7
Персп 2П 105 Уфа (Сев АВ) - В. Изяк;29,7;43
Персп 2П 108 Д Уфа (Южный АВ) - Дмитриевка;29,7;48,4
Персп 2П 108 Уфа (Южный АВ) - Лесхоз;26;43
Персп 2П 111 Стерлитамак (Кол.рынок) - с/х Рощинский;21,8;43
Персп 2П 111 Уфа (Южный АВ) - Кармасан;36,6;43
Персп 2П 112 Уфа (Южный АВ) - Миловка;23,3;43
Персп 2П 114 Уфа (Дема) - сан. Юматово;38,8;68,4
Персп 2П 114а Уфа (Дема) - д. Новомихайловка;40;63,6
Персп 2П 115 Уфа (Южный АВ) - Алексеевка;26,9;43
Персп 2П 119 Уфа (Мега) - д. Старые Киешки;40;49,2
Персп 2П 120 к Уфа (Мега) - Сады УАИ;35,3;45
Персп 2П 120 Уфа (Мега) - Мусино;39,4;51,2
Персп 2П 120к Уфа (Мега) - Деревня Новомусино;36;47,8
Персп 2П 121 к Уфа (Мега) - Кабаково;39,7;46,9
Персп 2П 121 соц Уфа (Мега) - Тимкино;47,2;52,1
Персп 2П 122 Уфа (Дема) - Авдон;33,5;43
Персп 2П 123 Уфа (Мега) - сады Лесная поляна;32;43
Персп 2П 124 Уфа (Мега) - Шипово;31,1;43
Персп 2П 126 Уфа (Мега) - сады Автомобилист;32,1;43
Персп 2П 127 к Уфа (Дема) - Алкино-2;31,9;43
Персп 2П 129 к Уфа (Мега) - Бузовьязы;46,3;52,2
Персп 2П 130к/130 Уфа (Южный АВ) -Турбаслы;40;43,1
Персп 2П 131к Уфа (Южный АВ) - Шамонино;38;43,2
Персп 2П 135 Уфа (Южный АВ) - сады Демские;27,2;43
Персп 2П 142 Уфа (Мега) -  Енгалышево;36,4;43
Персп 2П 150 Уфа (Мега) - Балагушево;39;43
Персп 2П 151 Уфа (Мега) - Чишмы;37,6;44,3
Персп 2П 152 Уфа (Мега) - Сады Нарат;39,2;43,3
Персп 2П 154 Уфа (Мега) - Александровка;39,8;50,2
Персп 2П 157 Уфа (Мега) - Фомичево;36,1;43,7
Персп 2П 163 Уфа (Мега) - Охлебинино;39;54,3
Персп 2П 163к Уфа (Мега) - Акбердино;40;63,3
Персп 2П 164 Т Уфа (Мега) - Таптыково;40;45,1
Персп 2П 164 Уфа (Мега) - Нижегородка;33,3;43
Персп 2П 165 Уфа (Северный АВ) - Иглино;23,5;43
Персп 2П 171 Уфа (Дема) - Жуково (Конечная (ул. Парковая) - Больница №6);32;43
Персп 2П 213 Уфа (Мега) - ч/з Миловский Парк - д. Сергеевка;32;43
Персп 2П 214 Уфа (Мега) - ЖК «Миловский парк»;27;52,2
Персп 2П 247 Уфа (Мега) - Микрорайон Спутник (Чесноковка);40;53
Персп 2П 253 к Уфа (Мега) - Кармаскалы;53,5;60
Персп 2П 253 соц Уфа (Мега) - Кармаскалы;45,7;51,6
Персп 2П 311 Уфа (Южный АВ) - с. Султанаево;38;51,7
Персп 2П 311о Уфа (Южный АВ) -  Михайловский поворот - Деревня Опытное Хозяйство;30;48,5
Персп 2П 311п Уфа (Эжный АВ) - Подымалово;33;56,1
