М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
Персп Старосубхангулово - Белорецк;Белорецк АВ, Азикеево МГ, Азналкино МГ, Кадыш МГ, Серменево МГ, Узян МГ, Байназарово МГ, Старосубхангулово АС;Старосубхангулово АС, Байназарово МГ, Узян МГ, Серменево МГ, Кадыш МГ, Азналкино МГ, Азикеево МГ, Белорецк АВ
Персп Стерлитамак - Нижние Услы - Чуртан;Колхозный рынок АС, ул. Мира, Дом быта, ул. Л. Толстого, ул. Дружбы, Дом Радио, Гимназия, Лицей №60, Стерлитамак АВ, Казадаевка, пов. Марьевка, Деревня Рязановка, с. Нижние Услы, Поворот Чуртан, Чуртан;Чуртан, Поворот Чуртан, с. Нижние Услы, Деревня Рязановка, пов. Марьевка, пов. на Стерлитамак МГ,, Казадаевка, Лицей №60, Гимназия, Дом Радио, ул. Дружбы, ул. Л. Толстого, Дом быта, ул. Мира, Колхозный рынок АС
Персп Стерлитамак - Услыбаш - Константиноградовка;Колхозный рынок АС, ул. Мира, Дом быта, ул. Л. Толстого, ул. Дружбы, Дом Радио, Гимназия, Лицей №60, Казадаевка, пов. Марьевка, Деревня Рязановка, Поворот Услы, Поворот Чуртан, Услыбаш, Поворот Чуртан, Поворот Бегеняш, Поворот Константиноградовка, Константиноградовка;Константиноградовка, Поворот Константиноградовка, Поворот Бегеняш, Поворот Чуртан, Услыбаш, Поворот Чуртан, Поворот Услы, Деревня Рязановка, пов. Марьевка, Казадаевка, Лицей №60, Гимназия, Дом Радио, ул. Дружбы, ул. Л. Толстого, Дом быта, ул. Мира, Колхозный рынок АС
ПН 105к Колхозный рынок - Благовещенск;Колхозный рынок, Больница №10, Ул. Конституции, Ул. Кемеровская, Ул. Садовая, Бельский ДОК, Ул. Грибоедова, Ул. Федоровская, Завод Сантехкабин, УНПЗ, Парниковое хозяйство, Ул. Энергетиков, Железнодорожный переезд Бирский, ТЭЦ-4, ВНЗМ, Железобетонный завод №1, Загородная, Сад №3, Северный КПП, Керамика, Щепное, КПМ, ПОЛИЭФ, Благовещенск АС;Благовещенск АС, ПОЛИЭФ, КПМ, Щепное, Керамика, Северный КПП, Сад №3, Загородная, Железобетонный завод №1, ВНЗМ, ТЭЦ-4, Железнодорожный переезд Бирский, Ул. Энергетиков, Парниковое хозяйство, УНПЗ, Завод Сантехкабин, Ул. Федоровская, Ул. Грибоедова, Бельский ДОК, Ул. Садовая, Ул. Кемеровская, Ул. Конституции, Больница №10, Колхозный рынок
ПН 114 Авиатехникум - сан. Юматово;"""Банк """"Уралсиб"""""", ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, Ул. Октябрьской Революции, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, ""Мечеть """"За-фа-за-ихсан"""""", ""Кафе """"Золотая рыбка"""""", Лесничество, ""Сад """"Здоровье"""""", Им. м. Зимина, Железнодорожная станция Дема, Демский энергоучасток, Ул. Путейская, Село Первомайское, УЗЭТИ, Ул. Крайняя, АЗС №105, СУ - 820, пов. на Жуково, перекрёсток Авдон, д. Уптино, Сад №1, Сад №2, ""Сады """"Юматово"""""", Сан. Юматово";"Сан. Юматово, ""Сады """"Юматово"""""", Сад №2, Сад №1, д. Уптино, перекрёсток Авдон, пов. на Жуково, СУ - 820, АЗС №105, Ул. Крайняя, УЗЭТИ, Село Первомайское, Ул. Путейская, Демский энергоучасток, Железнодорожная станция Дема, Им. м. Зимина, ""Сад """"Здоровье"""""", Лесничество, ""Кафе """"Золотая рыбка"""""", ""Мечеть """"За-фа-за-ихсан"""""", Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Ул. Октябрьской Революции, Педагогический университет, Гостиный двор, ""Гостиница """"Башкортостан"""""", ""Банк """"Уралсиб"""""""
ПН 114а Уфимский авиационный техникум - д. Новомихайловка;"Авиатехникум, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, Ул. Октябрьской Революции, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, ""Мечеть """"За-фа-за-ихсан"""""", ""Кафе """"Золотая рыбка"""""", Лесничество, ""Сад """"Здоровье"""""", Им. м. Зимина, Железнодорожная станция Дема, Демский энергоучасток, Ул. Путейская, Село Первомайское, УЗЭТИ, Ул. Крайняя, АЗС №105, СУ - 820, пов. на Жуково, перекрёсток Авдон, Сад №1, Сад №2, ""Магазин """"Айгуль"""" (Юматово)"", П/л Звездочка, ""Сады """"Юматово"""""", Сан. Юматово, ""Магазин """"Гурман"""""", поворот Юматово, Санаторий Алкино, Новомихайловка";"Новомихайловка, Санаторий Алкино, поворот Юматово, ""Магазин """"Гурман"""""", Сан. Юматово, ""Сады """"Юматово"""""", П/л Звездочка, ""Магазин """"Айгуль"""" (Юматово)"", Сад №2, Сад №1, перекрёсток Авдон, пов. на Жуково, СУ - 820, АЗС №105, Ул. Крайняя, УЗЭТИ, Село Первомайское, Ул. Путейская, Демский энергоучасток, Железнодорожная станция Дема, Им. м. Зимина, ""Сад """"Здоровье"""""", Лесничество, ""Кафе """"Золотая рыбка"""""", ""Мечеть """"За-фа-за-ихсан"""""", Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Ул. Октябрьской Революции, Педагогический университет, Гостиный двор, ""Гостиница """"Башкортостан"""""", Авиатехникум"
ПН 119 д. Старые Киешки - Ледовый дворец Уфа-Арена;"Старые Киешки, Конезавод, ""Сады """"Уршак"""""", Металлобаза, Поселок Чесноковка, ""Кафе """"Отдых"""""", Озёрная, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Ул. Октябрьской Революции, ГК РБ по делам юстиции, Трансагентство, Поликлиника №5, ""ТК """"Центральный"""""", Башкиргражданпроект, ""Ледовый дворец """"Уфа-Арена""""""";"""Ледовый дворец """"Уфа-Арена"""""", ""Банк """"Уралсиб"""""", Национальный молодежный театр им. М.Карима, ""Гостиница """"Башкортостан"""""", Гостиный двор, Педагогический университет, Ул. Октябрьской Революции, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Озёрная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Металлобаза, ""Сады """"Уршак"""""", Конезавод, Старые Киешки"
ПН 120к Улица имени города Галле - Деревня Новомусино;"Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", Башкиргражданпроект, Национальный молодежный театр им. М.Карима, ""Гостиница """"Башкортостан"""""", Гостиный двор, Советская площадь, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Мелькомбинат, Озёрная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Металлобаза, Поворот Аэропорт, Локотки, Булгаково, Дубки, Ракитов Куст, 32-й км, ""Сады """"Сар-Саз"""" "", ""Сады """"Чайка"""""", Новоандреевка, Сады УАИ, Старомусино, Новомусино";"Новомусино, Старомусино, Сады УАИ, Новоандреевка, ""Сады """"Чайка"""""", ""Сады """"Сар-Саз"""" "", 32-й км, Ракитов Куст, Дубки, Булгаково, Локотки, Поворот Аэропорт, Металлобаза, Поселок Чесноковка, ""Кафе """"Отдых"""""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Ул. Октябрьской Революции, Педагогический университет, Гостиный двор, ""Гостиница """"Башкортостан"""""", Национальный молодежный театр им. М.Карима, ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле"
ПН 130к/130 Бульвар Славы -Турбаслы - Деревня Бибахтино;"Ул. Октябрьской Революции, Бульвар Славы, Театр кукол, Гимназия-интернат №1, Горсовет, Госцирк, Железнодорожная больница, Юношеская библиотека, Спортивная, ""Универмаг """"Уфа"""""", Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, ГК РБ по делам юстиции, Училище искусств, Ул. Воровского, Троицкая площадь, Монумент Дружбы, Башавторемонт, Пристань №3, Гипермаркет «Лента», Ул. Пугачева, Ул. Армавирская, ""Сады """"Агидель"""""", Кордон №6, Населенный пункт Жилино, д. Карпово, Микрорайон «Федоровка», Поворот Фёдоровка (Исаково), ст. Русский Юрмаш, СОШ с. Русский Юрмаш, с. Старый Юрмаш 1, СОШ с. Турбаслы";"СОШ с. Турбаслы, с. Старый Юрмаш 1, СОШ с. Русский Юрмаш, ст. Русский Юрмаш, Поворот Фёдоровка (Исаково), Микрорайон «Федоровка», д. Карпово, Населенный пункт Жилино, Кордон №6, ""Сады """"Агидель"""""", Ул. Армавирская, Ул. Пугачева, Гипермаркет «Лента», Пристань №3, Башавторемонт, Монумент Дружбы, Троицкая площадь, Ул. Воровского, Училище искусств, ГК РБ по делам юстиции, Трансагентство, Поликлиника №5, ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, ""Универмаг """"Уфа"""""", Спортивная, Юношеская библиотека, Железнодорожная больница, Госцирк, Горсовет, Гимназия-интернат №1, Театр кукол, Бульвар Славы"
ПН 131к Бульвар Славы - Шамонино;"Бульвар Славы, Театр кукол, Гимназия-интернат №1, Горсовет, Госцирк, Железнодорожная больница, Юношеская библиотека, Спортивная, ""Универмаг """"Уфа"""""", Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, ГК РБ по делам юстиции, Ул. Октябрьской Революции, Национальный музей РБ, Ул. Новомостовая, Монумент Дружбы, Башавторемонт, Пристань №3, Гипермаркет «Лента», Ул. Пугачева, Ул. Армавирская, ""Сады """"Агидель"""""", Кордон №6, Населенный пункт Жилино, д. Карпово, Микрорайон «Федоровка», Поворот Фёдоровка (Исаково), Бурцево, Шмидтово, Шамонино";"Шамонино, Бурцево, Поворот Фёдоровка (Исаково), Микрорайон «Федоровка», д. Карпово, Населенный пункт Жилино, Кордон №6, ""Сады """"Агидель"""""", Ул. Армавирская, Ул. Пугачева, Гипермаркет «Лента», Пристань №3, Башавторемонт, Монумент Дружбы, Ул. Новомостовая, Национальный музей РБ, Ул. Октябрьской Революции, ГК РБ по делам юстиции, Трансагентство, Поликлиника №5, ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, ""Универмаг """"Уфа"""""", Спортивная, Юношеская библиотека, Железнодорожная больница, Госцирк, Горсовет, Гимназия-интернат №1, Театр кукол, Бульвар Славы"
ПН 163 Охлебинино - Уфа (Северный автовокзал);"СОШ с. Охлебинино, перекресток на Белорецк, Карамалы, Блохино, Куяново, п. Девичья гора, с. Акбердино 2, с. Акбердино 1, Акбердино, ""Сады """"Акбердино"""""", Ул. Рощинская, Населенный пункт Нагаево, Ул. Русская, Населённый пункт Зинино, Населенный пункт Жилино, Кордон №6, ""Сады """"Агидель"""""", Ул. Армавирская, Ул. Пугачева, Гипермаркет «Лента», Пристань №3, Башавторемонт, Монумент Дружбы, Троицкая площадь, Ул. Воровского, Училище искусств, ГК РБ по делам юстиции, Трансагентство, Поликлиника №5, ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, ""Универмаг """"Уфа"""""", Спортивная, Юношеская библиотека, Железнодорожная больница, Госцирк, Горсовет, Гимназия-интернат №1, Театр кукол, Бульвар Славы, Городской Дворец культуры, Ул. Трамвайная, Парк им. Калинина, Ул. Комарова, УГНТУ, Парк Победы, ""Стадион """"Нефтяник"""""", Ул. Кемеровская, Северный автовокзал";"Северный автовокзал, Ул. Кемеровская, ""Стадион """"Нефтяник"""""", Парк Победы, УГНТУ, Ул. Комарова, Парк им. Калинина, Ул. Трамвайная, Городской Дворец культуры, Бульвар Славы, Театр кукол, Гимназия-интернат №1, Горсовет, Госцирк, Железнодорожная больница, Юношеская библиотека, Спортивная, ""Универмаг """"Уфа"""""", Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, ГК РБ по делам юстиции, Училище искусств, Ул. Воровского, Троицкая площадь, Монумент Дружбы, Башавторемонт, Пристань №3, Гипермаркет «Лента», Ул. Пугачева, Ул. Армавирская, ""Сады """"Агидель"""""", Кордон №6, Населенный пункт Жилино, Сельскохозяйственный рынок «Зинино», Населённый пункт Зинино, Ул. Русская, Населенный пункт Нагаево, Ул. Рощинская, ""Сады """"Акбердино"""""", ул. Рами  Гарипова (с. Акбердино), ул. Северная (с. Акбердино), с. Акбердино 1, с. Акбердино 2, п. Девичья гора, Куяново, д. Блохино, Карамалы, перекресток на Белорецк, СОШ с. Охлебинино"
ПН 165 т Уфа (К.Рынок) - Тавтиманово;"Колхозный рынок, Турецкий лицей, Детский дом №9, Ул. Александра Невского, Ул. Ивана Франко, Ул. Коммунаров, Ул. Черниковская, ДК УМПО, Администрация Калининского р-на, Ул. Суворова, Детская поликлиника №4, Тарная база, Черниковское лесничество, ""ТК """"Юлдаш"""""", Водоканал, Правая Уфимка, Сады Локомотив, Шакша, д. Князево 4, Кириллово, с. Иглино ТСК Полушка, Иглино АС, Иглино (больница), с. Иглино Бригада, с. Иглино ул. Крупской, с. Иглино ул. Ягодная, с. Иглино Детский сад, с. Иглино Башнефть, с. Иглино Конечная, СОШ с. Тавтиманово";"СОШ с. Тавтиманово, с. Иглино Конечная, с. Иглино Башнефть, с. Иглино Детский сад, с. Иглино ул. Ягодная, с. Иглино ул. Якутово, с. Иглино ул. Крупской, с. Иглино Бригада, Иглино (больница), Иглино АС, с. Иглино ТСК Полушка, Кириллово, д. Князево 4, Шакша, Сады Локомотив, Правая Уфимка, Водоканал, ""ТК """"Юлдаш"""""", Черниковское лесничество, Тарная база, Детская поликлиника №4, Ул. Суворова, Администрация Калининского р-на, ДК УМПО, Ул. Черниковская, Ул. Коммунаров, Ул. Ивана Франко, Ул. Александра Невского, Детский дом №9, Турецкий лицей, Колхозный рынок"
ПН 214 Улица Дзержинского - ЖК «Миловский парк»;"Ул. Дзержинского, ДК железнодорожников, Парк им. Ивана Якутова, Ул. Достоевского, Ул. Красина, Ул. Коммунистическая, ДА им. Юсуповой, Советская площадь, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, ""Мечеть """"За-фа-за-ихcан"""""", ""Кафе """"Золотая рыбка"""""", Лесничество, ""Сад """"Здоровье"""""", Имени майора Зимина, Ул. Правды, ""ДДЮТ """"Орион"""""", Ул. Островского, Южный рынок, Ул. Магистральная, Ул. Минская, Сады, ""НПО """"Иммунопрепарат"""""", Романовка, Миловский парк";"Миловский парк, Романовка, ""НПО """"Иммунопрепарат"""""", Сады, Ул. Минская, Ул. Магистральная, Южный рынок, Ул. Островского, Музей 112 дивизии, ""ДДЮТ """"Орион"""""", Ул. Правды, Им. м. Зимина, ""Сад """"Здоровье"""""", Лесничество, ""Кафе """"Золотая рыбка"""""", ""Мечеть """"За-фа-за-ихсан"""""", Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Советская площадь, ДА им. Юсуповой, Ул. Коммунистическая, Ул. Красина, Ул. Достоевского, Дом профсоюзов, Ул. Революционная, Парк им. Ивана Якутова, ДК железнодорожников, Железнодорожный вокзал, Ул. Дзержинского"
ПН 247 Микрорайон Спутник (Чесноковка) - Уфа (Бульвар Славы);"Бульвар Славы, Театр кукол, Гимназия-интернат №1, Горсовет, Госцирк, Железнодорожная больница, Юношеская библиотека, Спортивная, ""Универмаг """"Уфа"""""", Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", ""Банк """"Уралсиб"""""", Национальный молодежный театр им. М.Карима, ""Гостиница """"Башкортостан"""""", Гостиный двор, Советская площадь, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Мелькомбинат, Озёрная, ""Кафе """"Отдых"""""", СОШ с. Чесноковка, Южная, Мкр. Спутник";"Мкр. Спутник, Южная, СОШ с. Чесноковка, ""Кафе """"Отдых"""""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Советская площадь, Гостиный двор, ""Гостиница """"Башкортостан"""""", Национальный молодежный театр им. М.Карима, ""Банк """"Уралсиб"""""", Башкиргражданпроект, ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, ""Универмаг """"Уфа"""""", Спортивная, Юношеская библиотека, Железнодорожная больница, Госцирк, Горсовет, Гимназия-интернат №1, Театр кукол, Бульвар Славы"
ПН 311 Южный автовокзал - с. Султанаево;"""Рынок """"Народный"""""", Южный автовокзал, Зеленая гора, Речная, Автодром, ""Сады """"Радуга"""""", ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, КПМ (Затон), д. Вавилово, Курасково, Подымалово, Волково МГ, Шарипово, Юлушево, Кармасан, Асан, Султанаево";"Султанаево, Асан, Кармасан, Юлушево, Сады - 1, Шарипово, Волково МГ, Подымалово, Курасково, Опытное хозяйство, с. Курасково, д. Вавилово, КПМ (Затон), Затон КПМ, п. Лесхоз, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", ""Рынок """"Народный"""""", Автодром, Речная, Зеленая гора, Южный автовокзал"
ПН 311о Южный автовокзал Михайловский поворот - Деревня Опытное Хозяйство;"Южный автовокзал, Зеленая гора, Речная, Автодром, ""Рынок """"Народный"""""", ""Сады """"Радуга"""""", ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, КПМ (Затон), д. Вавилово, с. Курасково, с. Курасково 2, д. Мударисово, Опытное хозяйство";"Опытное хозяйство, д. Мударисово, с. Курасково 2, с. Курасково, д. Вавилово, КПМ (Затон), п. Лесхоз, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", ""Рынок """"Народный"""""", Автодром, Речная, Зеленая гора, Южный автовокзал"
ПН 311п Подымалово - Города Галле;"Подымалово, Курасково, Опытное хозяйство, с. Курасково, д. Вавилово, КПМ (Затон), п. Лесхоз, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", ""Рынок """"Народный"""""", Автодром, Речная, Зеленая гора, Южный автовокзал, Ул. им. города Галле";"Ул. им. города Галле, Южный автовокзал, Зеленая гора, Речная, Автодром, ""Рынок """"Народный"""""", ""Сады """"Радуга"""""", ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, КПМ (Затон), д. Вавилово, Курасково, Подымалово"
ПН 313к с. Красный Яр - Уфа (Города Галле);"д. Красный Яр, №2 (д. Красный Яр), Опытное хозяйство, д. Мударисово, с. Курасково 2, с. Курасково, д. Вавилово, КПМ (Затон), п. Лесхоз, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", ""Рынок """"Народный"""""", Автодром, Речная, Зеленая гора, Южный автовокзал";"Южный автовокзал, Зеленая гора, Речная, Автодром, ""Рынок """"Народный"""""", ""Сады """"Радуга"""""", ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, КПМ (Затон), д. Вавилово, с. Курасково, Курасково, д. Мударисово, Опытное хозяйство, д. Красный Яр"
ПН 317д Уфа (Южный АВ) - Сады «Родник»;"Южный автовокзал, Зеленая гора, Речная, Автодром, ""Рынок """"Народный"""""", ""Сады """"Радуга"""""", ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, КПМ (Затон), д. Вавилово, Курасково, Подымалово, Волково, Шарипово, Мамяково";"Мамяково, Шарипово, Волково, Подымалово, Курасково, Опытное хозяйство, д. Вавилово, КПМ (Затон), Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", ""Рынок """"Народный"""""", Автодром, Речная, Зеленая гора, Южный автовокзал"
ПН 391 Уфа - Николаевка;"""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал, Зеленая гора, Речная, Автодром, ""Рынок """"Народный"""""", ""Сады """"Радуга"""""", ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, Советская, Больница, Дмитриевка";"Дмитриевка, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", ""Рынок """"Народный"""""", Автодром, Речная, Зеленая гора, Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""""
ПН 432 Центральный рынок - с. Иглино;"""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, ""Универмаг """"Уфа"""""", Спортивная, Юношеская библиотека, Железнодорожная больница, Госцирк, Горсовет, Гимназия-интернат №1, Театр кукол, Бульвар Славы, Городской Дворец культуры, ""ОАО """"Башмебель"""""", Вторая площадка УМПО, ""БХП """"Агидель"""""", "" """"Стеклонит"""""", ""ТЦ """"Радуга"""""", Уфимский хлеб, Сортопрокатный завод, Индустриальное шоссе, Стадион им. Гастелло, Тарная база, Черниковское лесничество, ""ТК """"Юлдаш"""""", Водоканал, Правая Уфимка, Сады Локомотив, Шакша, д. Князево 4, Кириллово, с. Иглино ТСК Полушка, Иглино АС";"Иглино АС, с. Иглино ТСК Полушка, Кириллово, д. Князево 4, Шакша, Сады Локомотив, Правая Уфимка, Водоканал, ""ТК """"Юлдаш"""""", Черниковское лесничество, Тарная база, Стадион им. Гастелло, Индустриальное шоссе, Сортопрокатный завод, Уфимский хлеб, ""ТЦ """"Радуга"""""", "" """"Стеклонит"""""", ""БХП """"Агидель"""""", Вторая площадка УМПО, ""ОАО """"Башмебель"""""", ГДК, Бульвар Славы, Театр кукол, Гимназия-интернат №1, Горсовет, Госцирк, Железнодорожная больница, Юношеская библиотека, Спортивная, ""Универмаг """"Уфа"""""", Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""""
ПН 432а Аральская - с. Иглино;"Ул. Аральская, Ул. Мажита Гафури, Ул. Пушкина, ДА им. Юсуповой, Советская площадь, Ул. Октябрьской Революции, ГК РБ по делам юстиции, Трансагентство, Поликлиника №5, ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, ""Универмаг """"Уфа"""""", Спортивная, Юношеская библиотека, Железнодорожная больница, Госцирк, Горсовет, Гимназия-интернат №1, Театр кукол, Бульвар Славы, Городской Дворец культуры, ""ОАО """"Башмебель"""""", Вторая площадка УМПО, ""БХП """"Агидель"""""", "" """"Стеклонит"""""", ""ТЦ """"Радуга"""""", Уфимский хлеб, Сортопрокатный завод, Индустриальное шоссе, Стадион им. Гастелло, Тарная база, Черниковское лесничество, ""ТК """"Юлдаш"""""", Водоканал, Правая Уфимка, Сады Локомотив, Шакша, д. Князево 4, Кириллово, с. Иглино ТСК Полушка, Иглино АС";"Иглино АС, с. Иглино ТСК Полушка, Кириллово, д. Князево 4, Шакша, Сады Локомотив, Правая Уфимка, Водоканал, ""ТК """"Юлдаш"""""", Черниковское лесничество, Тарная база, Стадион им. Гастелло, Индустриальное шоссе, Сортопрокатный завод, Уфимский хлеб, ""ТЦ """"Радуга"""""", "" """"Стеклонит"""""", ""БХП """"Агидель"""""", Вторая площадка УМПО, ""ОАО """"Башмебель"""""", ГДК, Бульвар Славы, Театр кукол, Гимназия-интернат №1, Горсовет, Госцирк, Железнодорожная больница, Юношеская библиотека, Спортивная, ""Универмаг """"Уфа"""""", Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, ГК РБ по делам юстиции, Ул. Октябрьской Революции, Советская площадь, ДА им. Юсуповой, БГУ, Телецентр, Ул. Мажита Гафури, Ул. Аральская"
ПН Банк «УРАЛСИБ» - Сады Ново-Осоргино (Уфимский район);"""Банк """"Уралсиб"""""", Башкиргражданпроект, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, ГК РБ по делам юстиции, Ул. Октябрьской Революции, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Озёрная, ""Кафе """"Отдых"""""", Теннисный корт, ""Магазин """"Байрам"""" (Зубово)"", п. Зубово 1, Зубово, СОШ с. Зубово, перекрёсток Нижегородка, Таптыково, перекрёсток Осоргино, № 2 (Дубрава), ""Сады """"Автомобилист"""""", № 1 (Дубрава), д. Дубрава, Дубрава, ""Сады """"Энергетик"""""", Ново-Осоргино";"Ново-Осоргино, ""Сады """"Энергетик"""""", Дубрава, № 1 (Дубрава), ""Сады """"Автомобилист"""""", перекрёсток Осоргино, Таптыково, перекрёсток Нижегородка, СОШ с. Зубово, Зубово, п. Зубово 1, ""Магазин """"Байрам"""" (Зубово)"", Теннисный корт, ""Кафе """"Отдых"""""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Ул. Октябрьской Революции, Педагогический университет, Гостиный двор, ""Гостиница """"Башкортостан"""""", Национальный молодежный театр им. М.Карима, ""Банк """"Уралсиб"""""""
ПН ДК УМПО - Деревня Верный (деревня Верный);"ДК УМПО, Администрация Калининского р-на, Ул. Суворова, Детская поликлиника №4, Тарная база, Черниковское лесничество, ""ТК """"Юлдаш"""""", Водоканал, Правая Уфимка, Сады Локомотив, УЗМПИ, Шакша, Ул. Малая, Сад №40, д. Верный";"д. Верный, Сад №40, Ул. Малая, Шакша, УЗМПИ, Сады Локомотив, Правая Уфимка, Водоканал, ""ТК """"Юлдаш"""""", Черниковское лесничество, Тарная база, Детская поликлиника №4, Ул. Суворова, Администрация Калининского р-на, ДК УМПО"
ПН Кумертау - Мурапталово;Кумертау АВ, Ермолаево, Новая Отрада, Старая Отрада, Аскарово, Максимовка, Мурапталово;Мурапталово, Максимовка, Аскарово, Старая Отрада, Новая Отрада, Ермолаево, Кумертау АВ
