М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
П 151 Чишмы - Уфа;"Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, ""ТК """"Центральный"""""", Трансагентство, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, ""Кафе """"Отдых"""""", Зубово, перекрёсток Нижегородка, Таптыково, перекрёсток Осоргино, ""Сады """"Автомобилист"""""", Дубрава, ""Сады """"Энергетик"""""", Акманай, Кляшево, Арово, Кара Якупово, Чишмы АС";"Чишмы АС, Кара Якупово, Арово, Кляшево, Акманай, ""Сады """"Энергетик"""""", Дубрава, ""Сады """"Автомобилист"""""", перекрёсток Осоргино, Таптыково, перекрёсток Нижегородка, Зубово, ""Кафе """"Отдых"""""", Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, ""Банк """"Уралсиб"""""", ""ТК """"Центральный"""""", БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 152 Уфа - Сады Нарат;"Южный автовокзал, ""Кафе """"Отдых"""""", Поворот Аэропорт, Булгаково, Стрельбище, Бекетово, Орловка, Ляхово, ""Сады """"Нарат""""""";"""Сады """"Нарат"""""", Ляхово, Орловка, Бекетово, Стрельбище, Булгаково, Поворот Аэропорт, ""Кафе """"Отдых"""""", Южный автовокзал"
П 154 Стерлитамак - Утяково;Стерлитамак АВ, п/о Сода, поворот Октябрь, Ишеево, Ахмерово, Михайловка, Ишим, Утяково МГ;Утяково МГ, Ишим, Михайловка, Ахмерово, Ишеево, поворот Октябрь, п/о Сода, Стерлитамак АВ
П 154 Уфа - Александровка;"Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Ул. 8-ое Марта, Ул. Айская, ""Автоцентр """"Рено"""""", Ул. Школьная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Поворот Аэропорт, Локотки, Булгаково, Дубки, Ракитов Куст, 32-й км, ""Сады """"Сар-Саз"""" "", ""Сады """"Чайка"""""", Новоандреевка, Сады УАИ, Мусино, 45-й км, 46-й км, Александровка";"Александровка, 46-й км, 45-й км, Мусино, Сады УАИ, Новоандреевка, ""Сады """"Чайка"""""", ""Сады """"Сар-Саз"""" "", 32-й км, Ракитов Куст, Дубки, Булгаково, Локотки, Поворот Аэропорт, Поселок Чесноковка, ""Кафе """"Отдых"""""", Ул. Школьная, ""Автоцентр """"Рено"""""", Ул. Айская, Ул. 8-ое Марта, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 156 Уфа (Южный АВ) - Сады Каряка;"Южный автовокзал, Школа №46, ""Рынок """"Зареченский"""""", КПМ (Затон), д. Вавилово, Курасково, Подымалово, Волково, Шарипово, перек. Сады Каряка, Воецкое";"Воецкое, перек. Сады Каряка, Шарипово, Волково, Подымалово, Курасково, д. Вавилово, КПМ (Затон), ""Рынок """"Зареченский"""""", Школа №46, Южный автовокзал"
П 157 а Стерлитамак - Ранний Рассвет;Стерлитамак АВ, Сады ранний Рассвет;Сады ранний Рассвет, Стерлитамак АВ
П 157 Стерлитамак - Сады Ясное;Стерлитамак АВ, Казадаевка, Развилка, Сады Рассвет, Сады Ясное;Сады Ясное, Сады Рассвет, Развилка, Казадаевка, Стерлитамак АВ
П 157 Уфа - Фомичево;"Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Ул. 8-ое Марта, Ул. Айская, Ул. Кирова, ""Автоцентр """"Рено"""""", Ул. Школьная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Поворот Аэропорт, Локотки, Булгаково, Рубин, Искра, Тюльпан, Фомичево";"Фомичево, Тюльпан, Искра, Рубин, Булгаково, Локотки, Поворот Аэропорт, Поселок Чесноковка, ""Кафе """"Отдых"""""", Ул. Школьная, ""Автоцентр """"Рено"""""", Ул. Кирова, Ул. Айская, Ул. 8-ое Марта, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 157-2 Стерлитамак - Сады Ясное 2;Стерлитамак АВ, Казадаевка, Развилка, Сады Рассвет, Сады Ясное, Ясное 2;Ясное 2, Сады Ясное, Сады Рассвет, Развилка, Казадаевка, Стерлитамак АВ
П 157-б Стерлитамак - Сады Каучук 5/3;Стерлитамак АВ, Казадаевка, Развилка, Сады Луч, Сады Каучук-5;Сады Каучук-5, Сады Луч, Развилка, Казадаевка, Стерлитамак АВ
П 158 Стерлитамак - Сады Строитель 3;Стерлитамак АВ, Казадаевка, сады Строитель 3;сады Строитель 3, Казадаевка, Стерлитамак АВ
П 159 Стерлитамак - Сады Подлесное;"Стерлитамак АВ, ""Гостиница """"Ашкадар"""""", пос. Первомайск, Подлесное";"Подлесное, пос. Первомайск, ""Гостиница """"Ашкадар"""""", Стерлитамак АВ"
П 162 Стерлитамак - Сады Рощинский;Стерлитамак АВ, пос. Первомайск, д. Борятино, д. Асава, п.Рощинский, Сады Рощинский;Сады Рощинский, п.Рощинский, д. Асава, д. Борятино, пос. Первомайск, Стерлитамак АВ
П 164 Т Уфа (Южный автовокзал) - Таптыково;"Бульвар Славы, Горсовет, Спортивная, БГАУ, ""ТК """"Центральный"""""", Трансагентство, Ул. Школьная, ""Кафе """"Отдых"""""", Зубово, Нижегородка, Таптыково";"Таптыково, Нижегородка, Зубово, ""Кафе """"Отдых"""""", Ул. Школьная, Трансагентство, ""ТК """"Центральный"""""", БГАУ, Спортивная, Горсовет, Бульвар Славы"
П 164 Уфа (Южный автовокзал) - Нижегородка;"Городской Дворец культуры, Бульвар Славы, Горсовет, Спортивная, БГАУ, ""ТК """"Центральный"""""", Трансагентство, Ул. Школьная, ""Кафе """"Отдых"""""", Зубово, Нижегородка";"Нижегородка, Зубово, ""Кафе """"Отдых"""""", Ул. Школьная, ""ТК """"Центральный"""""", БГАУ, Спортивная, Горсовет, Бульвар Славы, Городской Дворец культуры"
П 165 Баймак - Уфимский (Уфимка);Баймак АВ, Семеновск, Богачевка, Первомайка, Алибаевск, Уфимка;Уфимка, Алибаевск, Первомайка, Богачевка, Семеновск, Баймак АВ
П 165 Уфа (К. Рынок) - Иглино;Колхозный рынок, Максимовский поворот, Шакша, д. Князево 4, Кириллово, Иглино АС, Иглино (больница);Иглино (больница), Иглино АС, Кириллово, д. Князево 4, Шакша, Максимовский поворот, Колхозный рынок
П 171 Уфа - Жуково (Конечная (ул. Парковая) - Больница №6);"Южный автовокзал, ""Завод """"Магнетрон"""""", Проходная УЗЭМИК, ""Банк """"Уралсиб"""""", ""Гостиница """"Башкортостан"""""", Гостиный двор, Ул. Новомостовая, Ул. Школьная, СУ - 820, пов. на Жуково, с. Жуково 1, д. Мысовцево";"д. Мысовцево, с. Жуково 1, пов. на Жуково, СУ - 820, Ул. Школьная, Ул. Новомостовая, Гостиный двор, ""Гостиница """"Башкортостан"""""", ""Банк """"Уралсиб"""""", Проходная УЗЭМИК, ""Завод """"Магнетрон"""""", Южный автовокзал"
П 202 с Чекмагуш - Дюртюли ч/з Султанбеково;Чекмагуш АС, Сыйрышбашево, Каразириково, Таймурзино, Султанбеково, Старосултанбеково, Дюртюли АВ;Дюртюли АВ, Старосултанбеково, Султанбеково, Таймурзино, Каразириково, Сыйрышбашево, Чекмагуш АС
П 205 Стерлитамак АВ - Мраково;Стерлитамак АВ, Колхозный рынок АС, ул. Бабушкина, Сады, пос. Шахтау, Дом Отдыха, Мебельный поворот, Алатаны, Юрактау, Мраково;Мраково, Юрактау, Алатаны, Мебельный поворот, Дом Отдыха, пос. Шахтау, Сады, ул. Бабушкина, Колхозный рынок АС, Стерлитамак АВ
П 210 Стерлитамак АВ - д. Северная;Стерлитамак АВ, Колхозный Рынок, Ашкадар, Веселое, Преображеновка, Кононовский, Село Октябрьское, Деревня Северная;Деревня Северная, Село Октябрьское, Кононовский, Преображеновка, Веселое, Ашкадар, Колхозный Рынок, Стерлитамак АВ
