М 500 Федоровка - Салават;<;"Вокзальная ул. (Салават), Малая объездная дорога (Салават), а.д. Р-240 ""Уфа - Оренбург"", а.д. 80Н-391 ""Салават - Дмитриевка - Петропавловка - а.д. Мелеуз - Федоровка"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", Мира ул. (с. Нордовка), а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", а.д. 80Н-448 ""Кундяк - Халикеево"", а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Ленина ул. (Федоровка)"
М 500 Федоровка - Салават;>;"Ленина ул. (Федоровка), а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. 80Н-448 ""Кундяк - Халикеево"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", Мира ул. (с. Нордовка), а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", а.д. 80Н-391 ""Салават - Дмитриевка - Петропавловка - а.д. Мелеуз - Федоровка"", а.д. Р-240 ""Уфа - Оренбург"", Малая объездная дорога (Салават), Вокзальная ул. (Салават)"
М 501 Стерлитамак АВ - Кабакуш - Стерлибашево АС - Николаевка - Стерлитамак;>;"Раевский тракт, а.д. Р-240 ""Уфа - Оренбург"", а.д. 80Н-055 ""Стерлитамак - Федоровка"", Парковая ул. (Елимбетово), а.д. 80Н-055 ""Стерлитамак - Федоровка"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", а.д. 80Н-448 ""Кундяк - Халикеево"", а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", Галеева ул. (Стерлибашево), Ленина ул. (Стерлибашево), а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. Р-240 ""Уфа - Оренбург"", Раевский тракт"
М 503 Федоровка АС - Стерлитамак АВ ч\з Стерлибашево АС;<;"ул. Худайбердина (Стерлитамак), ул. Артема (Стерлитамак), ул. Водолаженко (Стерлитамак), Стерлибашевский тракт, а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Ленина ул. (Стерлибашево), Галеева ул. (Стерлибашево), а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. 80Н-448 ""Кундяк - Халикеево"", а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Ленина ул. (Федоровка)"
М 503 Федоровка АС - Стерлитамак АВ ч\з Стерлибашево АС;>;"Ленина ул. (Федоровка), а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. 80Н-448 ""Кундяк - Халикеево"", а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", Галеева ул. (Стерлибашево), Ленина ул. (Стерлибашево), а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Стерлибашевский тракт, ул. Водолаженко (Стерлитамак), ул. Артема (Стерлитамак), ул. Худайбердина (Стерлитамак)"
М 510 Стерлитамак АВ - Наумкино - Толбазы АС;<;"Первомайская ул. (Толбазы), Ленина ул. (Толбазы), ул. Химиков (Толбазы), а.д. 80Н-097 ""Толбазы - Семенкино"", Садовая ул. (Асавбашево), Центральная ул. (Асавбашево), а.д. 80Н-097 ""Толбазы - Семенкино"", Первомайская ул. (Буриказган), а.д. 80Н-465 ""Буриказганово - а.д. Старлитамак - Раевский"", Раевский тракт"
М 510 Стерлитамак АВ - Наумкино - Толбазы АС;>;"Раевский тракт, а.д. 80Н-465 ""Буриказганово - а.д. Старлитамак - Раевский"", Первомайская ул. (Буриказган), а.д. 80Н-097 ""Толбазы - Семенкино"", Центральная ул. (Асавбашево), Садовая ул. (Асавбашево), а.д. 80Н-097 ""Толбазы - Семенкино"", ул. Химиков (Толбазы), Ленина ул. (Толбазы), Первомайская ул. (Толбазы)"
М 530 Р Уфа - Белебей через Раевку;<;"Пионерская ул. (Белебей), Войкова ул. (Белебей), Советская ул. (Белебей), а.д. 80Н-002 ""Аксеново - Аксаково - Белебей"", а.д. 80К-011 ""М-5 ""Урал"" - Чишмы - Аксеново - Киргиз-Мияки"", Школьный пер. (Раевка), а.д. 80К-011 ""М-5 ""Урал"" - Чишмы - Аксеново - Киргиз-Мияки"", Революционная ул. (Чишмы), а.д. 80К-011 ""М-5 ""Урал"" - Чишмы - Аксеново - Киргиз-Мияки"", а.д. М-5 ""Урал"", Центральная ул., Демское ш., а.д. Р-240 ""Уфа - Оренбург"", пр. Салавата Юлаева, Айская ул., ул. 50-летия Октября, пр. Октября, ул. им. Города Галле, ул. Рихарда Зорге"
М 530 Р Уфа - Белебей через Раевку;>;"ул. Рихарда Зорге, ул. им. Города Галле, пр. Октября, ул. 50-летия Октября, Айская ул., пр. Салавата Юлаева, а.д. Р-240 ""Уфа - Оренбург"", Демское ш., Центральная ул., а.д. М-5 ""Урал"", а.д. 80К-011 ""М-5 ""Урал"" - Чишмы - Аксеново - Киргиз-Мияки"", Революционная ул. (Чишмы), а.д. 80К-011 ""М-5 ""Урал"" - Чишмы - Аксеново - Киргиз-Мияки"", Школьный пер. (Раевка), а.д. 80К-011 ""М-5 ""Урал"" - Чишмы - Аксеново - Киргиз-Мияки"", а.д. 80Н-002 ""Аксеново - Аксаково - Белебей"", Советская ул. (Белебей), Войкова ул. (Белебей), Пионерская ул. (Белебей)"
М 530 Уфа - Белебей;<;"Пионерская ул. (Белебей), Войкова ул. (Белебей), а.д. 80К-002 ""Белебей - Николаевка - Туймазы - Бакалы"", а.д. М-5 ""Урал"", Центральная ул., Демское ш., а.д. Р-240 ""Уфа - Оренбург"", пр. Салавата Юлаева, Айская ул., ул. 50-летия Октября, пр. Октября, ул. им. Города Галле, ул. Рихарда Зорге"
